STT,Cơ quan,Trách nhiệm ,Nội dung ,Điều khoản ,Liên kết khái niệm ,Keyphrase 
1,Chính phủ,Quản lý thống nhất,"Thống nhất quản lý nhà nước về bảo vệ môi trường trong phạm vi cả nước; ban hành hoặc trình cấp có thẩm quyền ban hành văn bản quy phạm pháp luật, cơ chế, chính sách về bảo vệ môi trường.","Điều 165, Khoản 1",Quản lý nhà nước về bảo vệ môi trường (Điều 164),"Thống nhất quản lý, Ban hành chính sách"
2,Chính phủ,Định hướng chính sách và Ứng phó,"Quyết định chính sách về bảo vệ, cải thiện và giữ gìn môi trường; chỉ đạo tập trung giải quyết, khắc phục tình trạng ô nhiễm môi trường, suy thoái môi trường ở các khu vực trọng điểm.","Điều 165, Khoản 2","Ô nhiễm môi trường, Sự cố môi trường","Giải quyết ô nhiễm trọng điểm, Kiểm soát sự cố"
3,Chính phủ,Báo cáo,"Hằng năm, báo cáo Quốc hội về công tác bảo vệ môi trường.","Điều 165, Khoản 4",Báo cáo công tác bảo vệ môi trường (Điều 118),Báo cáo Quốc hội hằng năm
4,Bộ Tài nguyên và Môi trường (Bộ TN&MT),Xây dựng pháp luật và chiến lược,"Chủ trì xây dựng, ban hành hoặc trình cấp có thẩm quyền ban hành văn bản quy phạm pháp luật, tiêu chuẩn, quy chuẩn kỹ thuật môi trường quốc gia; chiến lược, quy hoạch, kế hoạch về bảo vệ môi trường.","Điều 166, Khoản 1","Quy chuẩn kỹ thuật môi trường, Tiêu chuẩn môi trường","Xây dựng quy chuẩn quốc gia, Chiến lược bảo vệ môi trường"
5,Bộ Tài nguyên và Môi trường (Bộ TN&MT),Thẩm định và cấp phép,"Tổ chức thẩm định báo cáo đánh giá tác động môi trường; cấp, cấp đổi, điều chỉnh, cấp lại, thu hồi giấy phép môi trường; cấp, cấp đổi, cấp lại giấy chứng nhận về môi trường theo thẩm quyền.","Điều 166, Khoản 2","Đánh giá tác động môi trường (ĐTM), Giấy phép môi trường","Thẩm định ĐTM, Cấp phép môi trường"
6,Bộ Tài nguyên và Môi trường (Bộ TN&MT),Quản lý chất thải và cải tạo,"Chỉ đạo, hướng dẫn, kiểm tra và tổ chức thực hiện kiểm soát nguồn ô nhiễm; quản lý chất thải, chất lượng môi trường; cải tạo và phục hồi môi trường; bảo vệ môi trường di sản thiên nhiên.","Điều 166, Khoản 3","Chất thải, Phục hồi môi trường (Điều 126)","Quản lý chất thải, Phục hồi môi trường"
7,Bộ Tài nguyên và Môi trường (Bộ TN&MT),Quan trắc và cảnh báo,"Tổ chức xây dựng, quản lý mạng lưới quan trắc môi trường quốc gia; phê duyệt và tổ chức thực hiện các chương trình quan trắc môi trường; thông tin, cảnh báo về ô nhiễm môi trường.","Điều 166, Khoản 4","Quan trắc môi trường, Hệ thống quan trắc","Mạng lưới quan trắc quốc gia, Cảnh báo ô nhiễm"
8,Bộ Tài nguyên và Môi trường (Bộ TN&MT),Ứng phó với Biến đổi khí hậu,"Tổ chức xây dựng và triển khai hệ thống giám sát, đánh giá hoạt động thích ứng với biến đổi khí hậu cấp quốc gia; hệ thống đo đạc, báo cáo, thẩm định hoạt động giảm nhẹ phát thải khí nhà kính.","Điều 166, Khoản 9","Giảm nhẹ phát thải khí nhà kính, Thích ứng với biến đổi khí hậu","Giám sát Biến đổi khí hậu, Giảm nhẹ phát thải KNK"
9,Bộ Tài nguyên và Môi trường (Bộ TN&MT),Vận hành thị trường Các-bon,Tổ chức phân bổ hạn ngạch phát thải khí nhà kính cho các đối tượng; tổ chức vận hành thị trường các-bon trong nước và tham gia thị trường các-bon thế giới.,"Điều 139, Khoản 10","Hạn ngạch phát thải khí nhà kính, Tín chỉ các-bon","Phân bổ hạn ngạch KNK, Vận hành thị trường các-bon"
10,Bộ Tài nguyên và Môi trường (Bộ TN&MT),Quản lý nước mặt,"Tổ chức thực hiện đánh giá chất lượng môi trường nước mặt, trầm tích, khả năng chịu tải của môi trường nước mặt đối với sông, hồ liên tỉnh.","Điều 8, Khoản 2b",Khả năng chịu tải của môi trường,"Khả năng chịu tải nước mặt, Sông hồ liên tỉnh"
